Time (s),Speed (RPM),,Quadratic(translated to t = 0),
7.8042,612.43,,x^2,-7603.164912
7.8083,596.09,,x,26608.16355
7.8125,583.85,,constant,-17168.39703
7.8167,574.87,,,
7.8208,568.38,,,
7.825,563.77,,,
7.8292,560.55,,,
7.8333,558.33,,,
7.8375,556.81,,,
7.8417,555.79,,,
7.8458,555.11,,,
7.85,554.66,,,
7.8542,555.45,,,
7.8583,560.13,,,
7.8625,572.18,,,
7.8667,594.41,,,
7.8708,627.83,,,
7.875,671.3,,,
7.8792,722.04,,,
7.8833,776.41,,,
7.8875,830.79,,,
7.8917,882.14,,,
7.8958,928.37,,,
7.9,968.29,,,
7.9042,1001.6,,,
7.9083,1028.8,,,
7.9125,1051.7,,,
7.9167,1072.3,,,
7.9208,1092.6,,,
7.925,1113.7,,,
7.9292,1135.9,,,
7.9333,1159,,,
7.9375,1181.9,,,
7.9417,1203.9,,,
7.9458,1224.1,,,
7.95,1241.9,,,
7.9542,1257.7,,,
7.9583,1272.8,,,
7.9625,1289.3,,,
7.9667,1308.9,,,
7.9708,1332.4,,,
7.975,1359.8,,,
7.9792,1389.7,,,
7.9833,1420.7,,,
7.9875,1450.9,,,
7.9917,1479.5,,,
7.9958,1506.3,,,
8,1532.2,,,
8.0042,1558.1,,,
8.0083,1584.6,,,
8.0125,1611.5,,,
8.0167,1638.5,,,
8.0208,1664.6,,,
8.025,1689.4,,,
8.0292,1713.7,,,
8.0333,1738.4,,,
8.0375,1764.9,,,
8.0417,1793.6,,,
8.0458,1824.3,,,
8.05,1856,,,
8.0542,1888.2,,,
8.0583,1921,,,
8.0625,1955.8,,,
8.0667,1993.5,,,
8.0708,2034.5,,,
8.075,2078,,,
8.0792,2122.8,,,
8.0833,2166.8,,,
8.0875,2208.3,,,
8.0917,2246,,,
8.0958,2279,,,
8.1,2306.8,,,
8.1042,2330.5,,,
8.1083,2352.9,,,
8.1125,2377.6,,,
8.1167,2407.6,,,
8.1208,2444.7,,,
8.125,2489.6,,,
8.1292,2544.1,,,
8.1333,2610.1,,,
8.1375,2688.3,,,
8.1417,2777.7,,,
8.1458,2875.3,,,
8.15,2976.5,,,
8.1542,3076.5,,,
8.1583,3170.8,,,
8.1625,3256,,,
8.1667,3330.3,,,
8.1708,3392.8,,,
8.175,3443.8,,,
8.1792,3484.4,,,
8.1833,3515.8,,,
8.1875,3539.6,,,
8.1917,3557.3,,,
8.1958,3570.2,,,
8.2,3579.5,,,
8.2042,3586.1,,,
8.2083,3593,,,
8.2125,3606.6,,,
8.2167,3635.1,,,
8.2208,3682.6,,,
8.225,3745.5,,,
8.2292,3814,,,
8.2333,3876,,,
8.2375,3924,,,
8.2417,3958.2,,,
8.2458,3986,,,
8.25,4016.8,,,
8.2542,4058,,,
8.2583,4113.1,,,
8.2625,4181.1,,,
8.2667,4258.2,,,
8.2708,4339,,,
8.275,4416,,,
8.2792,4479.3,,,
8.2833,4518.3,,,
8.2875,4525.6,,,
8.2917,4506,,,
8.2958,4479.9,,,
8.3,4472.8,,,
8.3042,4500.5,,,
8.3083,4563.4,,,
8.3125,4649.9,,,
8.3167,4743,,,
8.3208,4827.4,,,
8.325,4892.9,,,
8.3292,4935.7,,,
8.3333,4956.7,,,
8.3375,4959.8,,,
8.3417,4950.3,,,
8.3458,4933.2,,,
8.35,4912.6,,,
8.3542,4891.7,,,
8.3583,4872.3,,,
8.3625,4855.5,,,
8.3667,4841.6,,,
8.3708,4830.5,,,
8.375,4826.7,,,
8.3792,4841.3,,,
8.3833,4884.7,,,
8.3875,4956.9,,,
8.3917,5046.8,,,
8.3958,5136.9,,,
8.4,5210.7,,,
8.4042,5257.1,,,
8.4083,5277,,,
8.4125,5284.6,,,
8.4167,5297.1,,,
8.4208,5323,,,
8.425,5359,,,
8.4292,5398.9,,,
8.4333,5442.2,,,
8.4375,5491.1,,,
8.4417,5543.5,,,
8.4458,5591.2,,,
8.45,5627.7,,,
8.4542,5655.3,,,
8.4583,5680.3,,,
8.4625,5704.8,,,
8.4667,5724,,,
8.4708,5733.7,,,
8.475,5737.6,,,
8.4792,5742.7,,,
8.4833,5751.2,,,
8.4875,5757.7,,,
8.4917,5757.8,,,
8.4958,5754.7,,,
8.5,5754.6,,,
8.5042,5759.2,,,
8.5083,5763.2,,,
8.5125,5761.5,,,
8.5167,5757.1,,,
8.5208,5756.1,,,
8.525,5760.3,,,
8.5292,5763.9,,,
8.5333,5761.9,,,
8.5375,5757.4,,,
8.5417,5761,,,
8.5458,5786.2,,,
8.55,5837.8,,,
8.5542,5906.7,,,
8.5583,5973.3,,,
8.5625,6020.7,,,
8.5667,6045.2,,,
8.5708,6051.7,,,
8.575,6044.5,,,
8.5792,6023,,,
8.5833,5988,,,
8.5875,5947.2,,,
8.5917,5915.3,,,
8.5958,5908,,,
8.6,5931.5,,,
8.6042,5977.2,,,
8.6083,6025.3,,,
8.6125,6058.4,,,
8.6167,6072,,,
8.6208,6075.1,,,
8.625,6083.2,,,
8.6292,6105.7,,,
8.6333,6138.7,,,
8.6375,6167.1,,,
8.6417,6177.6,,,
8.6458,6168.7,,,
8.65,6151.2,,,
8.6542,6141.5,,,
8.6583,6149.3,,,
8.6625,6170.7,,,
8.6667,6190.1,,,
8.6708,6193.9,,,
8.675,6180.1,,,
8.6792,6154.3,,,
8.6833,6121,,,
8.6875,6079,,,
8.6917,6028.3,,,
8.6958,5975.7,,,
8.7,5935.2,,,
8.7042,5921.7,,,
8.7083,5940.8,,,
8.7125,5983.5,,,
8.7167,6029.5,,,
8.7208,6061.1,,,
8.725,6073.8,,,
8.7292,6076.3,,,
8.7333,6084,,,
8.7375,6106.2,,,
8.7417,6139,,,
8.7458,6167.3,,,
8.75,6177.8,,,
8.7542,6168.8,,,
8.7583,6146.6,,,
8.7625,6115.7,,,
8.7667,6075.5,,,
8.7708,6025.9,,,
8.775,5974.2,,,
8.7792,5929.5,,,
8.7833,5895.2,,,
8.7875,5866.6,,,
8.7917,5838.5,,,
8.7958,5813.4,,,
8.8,5801.3,,,
8.8042,5814.7,,,
8.8083,5857.7,,,
8.8125,5920.4,,,
8.8167,5982.6,,,
8.8208,6027,,,
8.825,6049.4,,,
8.8292,6054.4,,,
