Time (s),Speed (RPM),,Cycle,Number of Revolutions
0,0,,1,111
0.0041667,0,,2,90
0.0083333,0,,3,116
0.0125,0,,4,81
0.016667,0,,5,121
0.020833,0,,6,97
0.025,0,,7,114
0.029167,0,,8,87
0.033333,0,,,
0.0375,0,,,
0.041667,0,,,
0.045833,0,,,
0.05,0,,,
0.054167,0,,,
0.058333,0,,,
0.0625,0,,,
0.066667,0,,,
0.070833,0,,,
0.075,0,,,
0.079167,0,,,
0.083333,0,,,
0.0875,0,,,
0.091667,0,,,
0.095833,0,,,
0.1,0,,,
0.10417,0,,,
0.10833,0,,,
0.1125,0,,,
0.11667,0,,,
0.12083,0,,,
0.125,0,,,
0.12917,0,,,
0.13333,0,,,
0.1375,0,,,
0.14167,0,,,
0.14583,0,,,
0.15,0,,,
0.15417,0,,,
0.15833,0,,,
0.1625,0,,,
0.16667,0,,,
0.17083,0,,,
0.175,0,,,
0.17917,0,,,
0.18333,0,,,
0.1875,0,,,
0.19167,0,,,
0.19583,0,,,
0.2,0,,,
0.20417,0,,,
0.20833,0,,,
0.2125,0,,,
0.21667,0,,,
0.22083,0,,,
0.225,0,,,
0.22917,0,,,
0.23333,0,,,
0.2375,0,,,
0.24167,0,,,
0.24583,0,,,
0.25,0,,,
0.25417,0,,,
0.25833,0,,,
0.2625,0,,,
0.26667,0,,,
0.27083,0,,,
0.275,0,,,
0.27917,0,,,
0.28333,0,,,
0.2875,0,,,
0.29167,0,,,
0.29583,0,,,
0.3,0,,,
0.30417,0,,,
0.30833,0,,,
0.3125,0,,,
0.31667,0,,,
0.32083,0,,,
0.325,0,,,
0.32917,0,,,
0.33333,0,,,
0.3375,0,,,
0.34167,0,,,
0.34583,0,,,
0.35,0,,,
0.35417,0,,,
0.35833,0,,,
0.3625,0,,,
0.36667,0,,,
0.37083,0,,,
0.375,0,,,
0.37917,0,,,
0.38333,3.2143,,,
0.3875,14.464,,,
0.39167,36.964,,,
0.39583,70.715,,,
0.4,112.9,,,
0.40417,159.31,,,
0.40833,205.72,,,
0.4125,248.81,,,
0.41667,286.51,,,
0.42083,317.93,,,
0.425,343.07,,,
0.42917,362.49,,,
0.43333,377.06,,,
0.4375,387.71,,,
0.44167,395.31,,,
0.44583,400.63,,,
0.45,404.29,,,
0.45417,406.77,,,
0.45833,408.42,,,
0.4625,409.51,,,
0.46667,410.21,,,
0.47083,410.66,,,
0.475,410.95,,,
0.47917,411.14,,,
0.48333,411.25,,,
0.4875,411.32,,,
0.49167,411.36,,,
0.49583,411.39,,,
0.5,411.41,,,
0.50417,411.42,,,
0.50833,411.42,,,
0.5125,411.42,,,
0.51667,411.43,,,
0.52083,411.43,,,
0.525,411.43,,,
0.52917,416.25,,,
0.53333,433.13,,,
0.5375,466.88,,,
0.54167,517.51,,,
0.54583,580.79,,,
0.55,650.4,,,
0.55417,720.01,,,
0.55833,784.66,,,
0.5625,841.22,,,
0.56667,888.35,,,
0.57083,926.06,,,
0.575,955.19,,,
0.57917,977.05,,,
0.58333,993.01,,,
0.5875,1006.6,,,
0.59167,1022.3,,,
0.59583,1043.1,,,
0.6,1069.8,,,
0.60417,1101.1,,,
0.60833,1134.3,,,
0.6125,1167,,,
0.61667,1197.1,,,
0.62083,1223.2,,,
0.625,1244.9,,,
0.62917,1262.2,,,
0.63333,1277.8,,,
0.6375,1295.8,,,
0.64167,1319,,,
0.64583,1348.1,,,
0.65,1381.5,,,
0.65417,1416.9,,,
0.65833,1451.4,,,
0.6625,1483,,,
0.66667,1510.4,,,
0.67083,1534.6,,,
0.675,1558.2,,,
0.67917,1583,,,
0.68333,1609.9,,,
0.6875,1638,,,
0.69167,1666,,,
0.69583,1692.3,,,
0.7,1715.9,,,
0.70417,1740.7,,,
0.70833,1773.5,,,
0.7125,1819.3,,,
0.71667,1878.5,,,
0.72083,1947.4,,,
0.725,2020.5,,,
0.72917,2092,,,
0.73333,2157.5,,,
0.7375,2214.3,,,
0.74167,2261.3,,,
0.74583,2298.8,,,
0.75,2327.7,,,
0.75417,2349.3,,,
0.75833,2365,,,
0.7625,2376.3,,,
0.76667,2384.1,,,
0.77083,2389.5,,,
0.775,2393.1,,,
0.77917,2399.3,,,
0.78333,2414,,,
0.7875,2441.3,,,
0.79167,2481.4,,,
0.79583,2531,,,
0.8,2585.4,,,
0.80417,2639.7,,,
0.80833,2690.1,,,
0.8125,2734.2,,,
0.81667,2770.9,,,
0.82083,2800.2,,,
0.825,2822.9,,,
